brand_0,brand_1,brand_2,price,dcity_0,dcity_1,dcity_2,dcity_3,dcity_4,acity_0,acity_1,acity_2,acity_3,acity_4,class_type,flytime_hours,dhour,dminute,ahour,aminute,dmonth,dday
0,1,1,5439000,0,0,0,0,1,0,0,1,0,1,1,1.25,20,5,21,20,12,10
0,1,1,8508000,0,0,0,0,1,0,0,1,0,1,1,1.25,20,5,21,20,12,10
0,1,0,1156000,0,0,0,0,1,0,0,1,1,0,1,1.4166666666666667,20,0,21,25,12,10
0,1,0,1251000,0,0,0,0,1,0,0,1,1,0,1,1.4166666666666667,20,0,21,25,12,10
0,1,0,1492000,0,0,0,0,1,0,0,1,1,0,1,1.4166666666666667,20,0,21,25,12,10
0,1,0,1971000,0,0,0,0,1,0,0,1,1,0,1,1.4166666666666667,20,0,21,25,12,10
0,1,0,2650000,0,0,0,0,1,0,0,1,1,0,1,1.4166666666666667,20,0,21,25,12,10
0,1,0,2668000,0,0,0,0,1,0,0,1,1,0,1,1.4166666666666667,20,0,21,25,12,10
0,1,0,2951000,0,0,0,0,1,0,0,1,1,0,1,1.4166666666666667,20,0,21,25,12,10
0,1,0,3205000,0,0,0,0,1,0,0,1,1,0,1,1.4166666666666667,20,0,21,25,12,10
0,1,0,3306000,0,0,0,0,1,0,0,1,1,0,1,1.4166666666666667,20,0,21,25,12,10
0,1,0,3315000,0,0,0,0,1,0,0,1,1,0,1,1.4166666666666667,20,0,21,25,12,10
0,1,0,9320000,0,0,0,0,1,0,0,1,1,0,1,1.4166666666666667,20,0,21,25,12,10
1,0,0,2519000,0,0,0,0,1,0,0,1,1,1,1,1.8333333333333333,19,45,21,35,12,10
1,0,0,2953000,0,0,0,0,1,0,0,1,1,1,1,1.8333333333333333,19,45,21,35,12,10
1,0,0,5150000,0,0,0,0,1,0,0,1,1,1,1,1.8333333333333333,19,45,21,35,12,10
1,0,0,2941000,0,0,0,0,1,0,0,1,1,1,1,1.8333333333333333,19,45,21,35,12,10
1,0,0,3306000,0,0,0,0,1,0,0,1,1,1,1,1.8333333333333333,19,45,21,35,12,10
1,0,0,4607000,0,0,0,0,1,0,0,1,1,1,1,1.8333333333333333,19,45,21,35,12,10
1,0,0,5242000,0,0,0,0,1,0,0,1,1,1,1,1.8333333333333333,19,45,21,35,12,10
0,1,1,7820000,0,0,0,0,1,0,1,0,0,0,1,15.416666666666666,18,45,10,10,12,10
0,1,1,8155000,0,0,0,0,1,0,1,0,0,0,1,15.416666666666666,18,45,10,10,12,10
0,1,1,8696000,0,0,0,0,1,0,1,0,0,0,1,15.416666666666666,18,45,10,10,12,10
0,1,1,8863000,0,0,0,0,1,0,1,0,0,0,1,15.416666666666666,18,45,10,10,12,10
0,1,1,8901000,0,0,0,0,1,0,1,0,0,0,1,15.416666666666666,18,45,10,10,12,10
0,1,1,10217000,0,0,0,0,1,0,1,0,0,0,1,15.416666666666666,18,45,10,10,12,10
0,1,1,10253000,0,0,0,0,1,0,1,0,0,0,1,15.416666666666666,18,45,10,10,12,10
0,1,1,10282000,0,0,0,0,1,0,1,0,0,0,1,15.416666666666666,18,45,10,10,12,10
0,1,1,10858000,0,0,0,0,1,0,1,0,0,0,1,15.416666666666666,18,45,10,10,12,10
0,1,0,1637000,0,0,0,0,1,0,1,0,0,1,1,1.3333333333333333,14,45,16,5,12,10
0,1,0,1985000,0,0,0,0,1,0,1,0,0,1,1,1.3333333333333333,14,45,16,5,12,10
